Compound,Date,Media,Negative,Neutral,Positive,Tweet Count,Tweet Text
-0.6249,Thu Feb 15 02:29:06 +0000 2018,@CNN,0.17,0.83,0.0,214,"""We are tremendously heartbroken... This is a day we have seen the worst of humanity. Tomorrow is going to bring ou… https://t.co/8krUbDnaBM"
-0.4767,Thu Feb 15 02:14:59 +0000 2018,@CNN,0.129,0.871,0.0,215,"""The frustration is that we did everything that we were supposed to do. ... and still, to have so many causalities.… https://t.co/844ZQKUBuw"
0.0,Thu Feb 15 01:53:56 +0000 2018,@CNN,0.0,1.0,0.0,216,"""I said, 'Who are you?' He said, 'The police.' And I said, 'Prove it' and he showed me their badge."" - High school… https://t.co/IzXVSYoMtV"
-0.7983,Thu Feb 15 01:51:24 +0000 2018,@CNN,0.284,0.716,0.0,217,"""I'm absolutely losing it tonight. ... I'm so sick of this, I can not tell you"" --Juliette Kayyem, former Assistant… https://t.co/KaAD7AgrkI"
-0.8126,Thu Feb 15 01:50:27 +0000 2018,@CNN,0.343,0.588,0.069,218,"""A child of God is dead"": Former CIA and FBI official Phil Mudd choked back tears as he confronted the grim details… https://t.co/ZOC5JjDKzc"
-0.5574,Thu Feb 15 01:36:20 +0000 2018,@CNN,0.159,0.841,0.0,219,"More than 100 White House officials, including Ivanka Trump, Jared Kushner and Rob Porter, did not have full securi… https://t.co/Wo0qEwCkb0"
0.6369,Thu Feb 15 01:08:47 +0000 2018,@CNN,0.0,0.811,0.189,220,"Rep. Jim Himes, whose home state endured Sandy Hook, says there will be a ""perfectly predictable"" response to Flori… https://t.co/h2scVIN4TI"
-0.6705,Thu Feb 15 04:21:37 +0000 2018,@CNN,0.2,0.8,0.0,221,"At least 17 people were killed in a shooting at Marjory Stoneman Douglas High School in Parkland, Florida, authorit… https://t.co/zFf1Bl6bBf"
-0.7184,Thu Feb 15 03:57:28 +0000 2018,@CNN,0.316,0.684,0.0,222,"US personnel suffered ""symptoms resembling brain injury"" in Cuba, according to a new study https://t.co/BXUZe8MVe3 https://t.co/99hZZQNsNy"
0.0,Thu Feb 15 03:49:12 +0000 2018,@CNN,0.0,1.0,0.0,223,"""Some of my classmates did not know if they were leaving the school alive.""

Two students who attend Marjory Stonem… https://t.co/zVurhwdUXo"
-0.4939,Thu Feb 15 03:38:32 +0000 2018,@CNN,0.138,0.862,0.0,224,"CNN's Don Lemon on the shooting at a high school in Florida: ""This is a sickness that has infected this country. ..… https://t.co/J7PhrTiloU"
0.0,Thu Feb 15 03:33:00 +0000 2018,@CNN,0.0,1.0,0.0,225,"RT @CNNTonight: .@DonLemon says the facts don't tell the full story about the Florida school shooting: ""This is a sickness that has infecte…"
0.0,Thu Feb 15 03:13:13 +0000 2018,@CNN,0.0,1.0,0.0,226,"Mitt Romney delays his scheduled announcement about the Utah Senate race, citing the school shooting in Parkland, F… https://t.co/mbHX0qXCHo"
-0.3182,Thu Feb 15 03:10:22 +0000 2018,@CNN,0.156,0.754,0.09,227,A Stoneman Douglas High School student says thinking of family is important during dangerous situations. She recent… https://t.co/vCuVuR7ZZg
0.0,Thu Feb 15 03:04:17 +0000 2018,@CNN,0.0,1.0,0.0,228,"""They weren't partisan. They weren't shot because of how they feel about the Second Amendment or who they voted for… https://t.co/KhgyZ4zRtP"
0.0,Thu Feb 15 03:01:18 +0000 2018,@CNN,0.0,1.0,0.0,229,"RT @AC360: Officials are examining the Florida school shooting suspect's digital profile, which contained what Broward County Sheriff descr…"
0.0,Thu Feb 15 02:57:51 +0000 2018,@CNN,0.0,1.0,0.0,230,"Marjory Stoneman Douglas High School teacher Melissa Falkowski recounts fitting 19 students, plus herself, in a cla… https://t.co/0rLcavM8wC"
-0.6597,Thu Feb 15 02:45:37 +0000 2018,@CNN,0.196,0.804,0.0,231,"RT @AC360: Florida Gov. Rick Scott called the school shooting ""pure evil"" and ordered flags at half-staff https://t.co/HhPmB4OuN0 https://t…"
-0.3182,Thu Feb 15 02:35:05 +0000 2018,@CNN,0.108,0.892,0.0,232,"Florida Gov. Rick Scott said he will visit shooting victims at the hospital tonight.

""This is just absolutely pure… https://t.co/0e0fkARnAA"
-0.296,Thu Feb 15 02:33:05 +0000 2018,@CNN,0.109,0.891,0.0,233,"Robert Runcie, superintendent for Broward County Public Schools: ""No parent should ever have to send their kids to… https://t.co/NmGk6MPQZ9"
-0.6249,Thu Feb 15 02:29:06 +0000 2018,@CNN,0.17,0.83,0.0,234,"""We are tremendously heartbroken... This is a day we have seen the worst of humanity. Tomorrow is going to bring ou… https://t.co/8krUbDnaBM"
-0.4767,Thu Feb 15 02:14:59 +0000 2018,@CNN,0.129,0.871,0.0,235,"""The frustration is that we did everything that we were supposed to do. ... and still, to have so many causalities.… https://t.co/844ZQKUBuw"
0.0,Thu Feb 15 01:53:56 +0000 2018,@CNN,0.0,1.0,0.0,236,"""I said, 'Who are you?' He said, 'The police.' And I said, 'Prove it' and he showed me their badge."" - High school… https://t.co/IzXVSYoMtV"
-0.7983,Thu Feb 15 01:51:24 +0000 2018,@CNN,0.284,0.716,0.0,237,"""I'm absolutely losing it tonight. ... I'm so sick of this, I can not tell you"" --Juliette Kayyem, former Assistant… https://t.co/KaAD7AgrkI"
-0.8126,Thu Feb 15 01:50:27 +0000 2018,@CNN,0.343,0.588,0.069,238,"""A child of God is dead"": Former CIA and FBI official Phil Mudd choked back tears as he confronted the grim details… https://t.co/ZOC5JjDKzc"
-0.5574,Thu Feb 15 01:36:20 +0000 2018,@CNN,0.159,0.841,0.0,239,"More than 100 White House officials, including Ivanka Trump, Jared Kushner and Rob Porter, did not have full securi… https://t.co/Wo0qEwCkb0"
0.6369,Thu Feb 15 01:08:47 +0000 2018,@CNN,0.0,0.811,0.189,240,"Rep. Jim Himes, whose home state endured Sandy Hook, says there will be a ""perfectly predictable"" response to Flori… https://t.co/h2scVIN4TI"
-0.6705,Thu Feb 15 00:56:02 +0000 2018,@CNN,0.255,0.745,0.0,241,The day was almost over and students were puzzled because the fire alarm was going off a second time. Then the guns… https://t.co/2VHzROShnw
0.0,Thu Feb 15 00:43:57 +0000 2018,@CNN,0.0,1.0,0.0,242,"The shooting at a high school in Parkland, Florida, is now among the 10 deadliest mass shootings in modern US histo… https://t.co/W4XBvEQZcJ"
-0.658,Thu Feb 15 00:27:19 +0000 2018,@CNN,0.219,0.71,0.071,243,"""A child of God is dead. Can not we acknowledge in this country that we cannot accept this?"" Former CIA and FBI off… https://t.co/11hLkWB8S7"
-0.4939,Thu Feb 15 00:17:11 +0000 2018,@CNN,0.198,0.802,0.0,244,"The suspect in a shooting at a high school in Florida had been expelled for disciplinary reasons, Broward County sh… https://t.co/1PF1GXavEw"
0.2484,Wed Feb 14 23:58:30 +0000 2018,@CNN,0.098,0.759,0.143,245,"""I really hope this isn’t real."" A student describes her thoughts during the confusion after the shooting at Stonem… https://t.co/KlGxk5SAv0"
-0.6705,Wed Feb 14 23:49:06 +0000 2018,@CNN,0.22,0.78,0.0,246,"At least 17 people were killed in the shooting at a Florida high school, sheriff says https://t.co/C3wj70KH8t https://t.co/xnAKvADEI1"
0.5106,Wed Feb 14 23:45:07 +0000 2018,@CNN,0.0,0.845,0.155,247,Broward County Schools Superintendent Robert Runcie was honoring his Teacher of the Year with a brand new car just… https://t.co/IKoKB2xQ6g
0.0,Wed Feb 14 23:36:53 +0000 2018,@CNN,0.0,1.0,0.0,248,"Here's what we know so far about the shooting at a high school in Parkland, Florida. Latest updates:… https://t.co/Qk6cPtPBCf"
-0.6705,Wed Feb 14 23:12:56 +0000 2018,@CNN,0.184,0.816,0.0,249,"JUST IN: At least 16 people were killed in the shooting at a Florida high school, law enforcement sources say. Poli… https://t.co/2TFE6BZY9N"
